_step,eval_loss,train_loss,smoothed_loss,lr
305,,4.8955,4.8611,0.000452
306,,4.7771,4.8509,0.000454
306,,4.7771,4.8509,0.000454
307,,4.8289,4.847,0.000455
307,,4.8289,4.847,0.000455
308,,4.9238,4.8447,0.000457
308,,4.9238,4.8447,0.000457
309,,4.8533,4.8516,0.000458
309,,4.8533,4.8516,0.000458
310,,4.752,4.838,0.000459
310,,4.752,4.838,0.000459
311,,4.8916,4.8431,0.000461
311,,4.8916,4.8431,0.000461
312,,4.7864,4.8335,0.000462
312,,4.7864,4.8335,0.000462
313,,4.9395,4.8438,0.000464
313,,4.9395,4.8438,0.000464
314,,4.8325,4.848,0.000465
314,,4.8325,4.848,0.000465
315,,4.8677,4.8453,0.000467
315,,4.8677,4.8453,0.000467
316,,4.8662,4.8542,0.000468
316,,4.8662,4.8542,0.000468
317,,4.7637,4.8477,0.00047
317,,4.7637,4.8477,0.00047
318,,4.6809,4.8234,0.000471
318,,4.6809,4.8234,0.000471
319,,4.8237,4.8204,0.000473
319,,4.8237,4.8204,0.000473
320,,4.8328,4.8285,0.000474
320,,4.8328,4.8285,0.000474
321,,4.8691,4.8262,0.000476
321,,4.8691,4.8262,0.000476
322,,4.8235,4.83,0.000477
322,,4.8235,4.83,0.000477
323,,4.7869,4.8147,0.000479
323,,4.7869,4.8147,0.000479
324,,4.7126,4.8027,0.00048
324,,4.7126,4.8027,0.00048
325,,4.8362,4.7996,0.000482
325,,4.8362,4.7996,0.000482
326,,4.8179,4.7947,0.000483
326,,4.8179,4.7947,0.000483
327,,4.7097,4.7893,0.000485
327,,4.7097,4.7893,0.000485
328,,4.8743,4.8087,0.000486
328,,4.8743,4.8087,0.000486
329,,4.6484,4.7911,0.000488
329,,4.6484,4.7911,0.000488
330,,4.7981,4.7877,0.000489
330,,4.7981,4.7877,0.000489
331,,4.6865,4.7694,0.000491
331,,4.6865,4.7694,0.000491
332,,4.7781,4.7649,0.000492
332,,4.7781,4.7649,0.000492
333,,4.6401,4.7502,0.000494
333,,4.6401,4.7502,0.000494
334,,4.6494,4.7439,0.000495
334,,4.6494,4.7439,0.000495
335,,4.6689,4.7271,0.000497
335,,4.6689,4.7271,0.000497
336,,4.6011,4.7055,0.000498
336,,4.6011,4.7055,0.000498
337,,4.709,4.7054,0.0005
337,,4.709,4.7054,0.0005
338,,4.4832,4.6663,0.000501
338,,4.4832,4.6663,0.000501
339,,4.6384,4.6653,0.000502
339,,4.6384,4.6653,0.000502
340,,4.6218,4.6477,0.000504
340,,4.6218,4.6477,0.000504
341,,4.6335,4.6424,0.000505
341,,4.6335,4.6424,0.000505
342,,4.5898,4.6235,0.000507
342,,4.5898,4.6235,0.000507
343,,4.478,4.6073,0.000508
343,,4.478,4.6073,0.000508
344,,4.6624,4.6086,0.00051
344,,4.6624,4.6086,0.00051
345,,4.5718,4.5989,0.000511
345,,4.5718,4.5989,0.000511
346,,4.7102,4.6098,0.000513
346,,4.7102,4.6098,0.000513
347,,4.5989,4.5988,0.000514
347,,4.5989,4.5988,0.000514
348,,4.6196,4.6125,0.000516
348,,4.6196,4.6125,0.000516
349,,4.5117,4.5998,0.000517
349,,4.5117,4.5998,0.000517
350,,4.5574,4.5933,0.000519
350,,4.5574,4.5933,0.000519
351,,4.5554,4.5855,0.00052
351,,4.5554,4.5855,0.00052
352,,4.5752,4.5841,0.000522
352,,4.5752,4.5841,0.000522
353,,4.6682,4.6031,0.000523
353,,4.6682,4.6031,0.000523
354,,4.6643,4.6033,0.000525
354,,4.6643,4.6033,0.000525
355,,4.7283,4.6189,0.000526
355,,4.7283,4.6189,0.000526
356,,4.5591,4.6038,0.000528
356,,4.5591,4.6038,0.000528
357,,4.6133,4.6052,0.000529
357,,4.6133,4.6052,0.000529
358,,4.6663,4.6099,0.000531
358,,4.6663,4.6099,0.000531
359,,4.6685,4.6256,0.000532
359,,4.6685,4.6256,0.000532
360,,4.6121,4.6311,0.000534
360,,4.6121,4.6311,0.000534
361,,4.6316,4.6387,0.000535
361,,4.6316,4.6387,0.000535
362,,4.5813,4.6393,0.000537
362,,4.5813,4.6393,0.000537
363,,4.6333,4.6358,0.000538
363,,4.6333,4.6358,0.000538
364,,4.6423,4.6336,0.00054
364,,4.6423,4.6336,0.00054
365,,4.5342,4.6142,0.000541
